duree,date,line_num,line_type,what,type_inc
0 days 00:00:00.000000000,2016-07-01 10:34:00,12,metro,pedestrian,unscheduled
0 days 00:00:00.000000000,2016-07-01 10:42:00,12,metro,pedestrian,unscheduled
0 days 00:00:00.000000000,2016-07-01 11:30:00,12,metro,pedestrian,unscheduled
0 days 00:37:00.000000000,2016-07-01 12:57:00,6,metro,unattended_luggage,unscheduled
0 days 00:10:00.000000000,2016-07-01 13:35:00,6,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-01 13:46:00,6,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-01 13:47:00,6,metro,unattended_luggage,unscheduled
0 days 00:08:00.000000000,2016-07-01 13:48:00,6,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-01 13:57:00,6,metro,unattended_luggage,unscheduled
0 days 00:13:00.000000000,2016-07-01 13:59:00,6,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-01 14:14:00,6,metro,unattended_luggage,unscheduled
0 days 00:17:00.000000000,2016-07-01 14:15:00,6,metro,unattended_luggage,unscheduled
0 days 01:44:00.000000000,2016-07-01 17:49:00,13,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-01 20:41:00,8,metro,passenger,unscheduled
0 days 00:14:00.000000000,2016-07-01 20:46:00,11,metro,unattended_luggage,unscheduled
0 days 00:02:00.000000000,2016-07-01 21:58:00,11,metro,unattended_luggage,unscheduled
0 days 02:21:00.000000000,2016-07-01 22:53:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-02 13:17:00,1,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-02 13:32:00,1,metro,breakdown,unscheduled
0 days 01:17:00.000000000,2016-07-02 15:51:00,B,rer,unattended_luggage,unscheduled
0 days 00:10:00.000000000,2016-07-02 16:15:00,6,metro,unattended_luggage,unscheduled
0 days 00:40:00.000000000,2016-07-02 16:26:00,6,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-02 22:36:00,6,metro,safety,unscheduled
0 days 02:34:00.000000000,2016-07-02 22:37:00,6,metro,safety,unscheduled
0 days 00:29:00.000000000,2016-07-03 00:19:00,10,metro,pedestrian,unscheduled
0 days 00:00:00.000000000,2016-07-03 10:51:00,14,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-03 11:17:00,14,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-03 21:27:00,A,rer,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-03 21:34:00,A,rer,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-03 21:37:00,A,rer,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-03 21:55:00,A,rer,unattended_luggage,unscheduled
0 days 02:58:00.000000000,2016-07-03 22:16:00,6,metro,safety,unscheduled
0 days 00:06:00.000000000,2016-07-04 08:51:00,6,metro,smoke,unscheduled
0 days 00:28:00.000000000,2016-07-04 08:58:00,6,metro,smoke,unscheduled
0 days 00:21:00.000000000,2016-07-04 09:05:00,13,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-04 12:40:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-04 15:55:00,B,rer,safety,unscheduled
0 days 00:05:00.000000000,2016-07-04 15:56:00,B,rer,safety,unscheduled
0 days 00:43:00.000000000,2016-07-04 16:13:00,B,rer,safety,unscheduled
0 days 00:00:00.000000000,2016-07-04 17:41:00,B,rer,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-04 17:57:00,B,rer,safety,unscheduled
0 days 00:00:00.000000000,2016-07-04 18:27:00,B,rer,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-04 19:06:00,B,rer,safety,unscheduled
0 days 02:28:00.000000000,2016-07-04 19:43:00,B,rer,safety,unscheduled
0 days 00:28:00.000000000,2016-07-05 06:04:00,4,metro,smoke,unscheduled
0 days 00:22:00.000000000,2016-07-05 06:29:00,B,rer,smoke,unscheduled
0 days 00:13:00.000000000,2016-07-05 06:51:00,5,metro,generic,unscheduled
0 days 02:34:00.000000000,2016-07-05 07:04:00,B,rer,smoke,unscheduled
0 days 00:31:00.000000000,2016-07-05 08:15:00,4,metro,smoke,unscheduled
0 days 00:18:00.000000000,2016-07-05 09:22:00,12,metro,passenger,unscheduled
0 days 01:46:00.000000000,2016-07-05 09:38:00,A,rer,generic,unscheduled
0 days 00:05:00.000000000,2016-07-05 09:40:00,B,rer,smoke,unscheduled
0 days 00:01:00.000000000,2016-07-05 09:50:00,B,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-05 09:53:00,B,rer,smoke,unscheduled
0 days 00:00:00.000000000,2016-07-05 09:53:00,12,metro,passenger,unscheduled
0 days 00:43:00.000000000,2016-07-05 09:54:00,B,rer,breakdown,unscheduled
0 days 00:08:00.000000000,2016-07-05 10:11:00,5,metro,generic,unscheduled
0 days 00:01:00.000000000,2016-07-05 10:21:00,5,metro,generic,unscheduled
0 days 05:58:00.000000000,2016-07-05 10:22:00,7,metro,generic,unscheduled
0 days 05:45:00.000000000,2016-07-05 10:22:00,6,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-05 10:23:00,5,metro,generic,unscheduled
0 days 00:01:00.000000000,2016-07-05 10:24:00,5,metro,generic,unscheduled
0 days 01:26:00.000000000,2016-07-05 10:25:00,10,metro,generic,unscheduled
0 days 00:02:00.000000000,2016-07-05 10:26:00,5,metro,generic,unscheduled
0 days 05:34:00.000000000,2016-07-05 10:27:00,1,metro,generic,unscheduled
0 days 00:13:00.000000000,2016-07-05 10:29:00,5,metro,generic,unscheduled
0 days 05:45:00.000000000,2016-07-05 10:30:00,8,metro,generic,unscheduled
0 days 00:23:00.000000000,2016-07-05 10:38:00,B,rer,breakdown,unscheduled
0 days 05:32:00.000000000,2016-07-05 10:43:00,5,metro,generic,unscheduled
0 days 00:01:00.000000000,2016-07-05 11:02:00,B,rer,breakdown,unscheduled
0 days 13:48:00.000000000,2016-07-05 11:04:00,B,rer,breakdown,unscheduled
0 days 00:05:00.000000000,2016-07-05 11:53:00,10,metro,generic,unscheduled
0 days 02:59:00.000000000,2016-07-05 16:02:00,13,metro,safety,unscheduled
0 days 02:59:00.000000000,2016-07-05 16:02:00,9,metro,safety,unscheduled
0 days 05:51:00.000000000,2016-07-05 16:02:00,1,metro,safety,unscheduled
0 days 00:07:00.000000000,2016-07-05 16:08:00,6,metro,unattended_luggage,unscheduled
0 days 00:01:00.000000000,2016-07-05 16:17:00,5,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-05 16:17:00,6,metro,generic,unscheduled
0 days 00:19:00.000000000,2016-07-05 16:18:00,6,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-05 16:20:00,5,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-05 18:57:00,14,metro,obstacle,unscheduled
0 days 00:22:00.000000000,2016-07-05 19:01:00,14,metro,obstacle,unscheduled
0 days 02:30:00.000000000,2016-07-05 19:23:00,13,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-05 19:28:00,14,metro,obstacle,unscheduled
0 days 00:00:00.000000000,2016-07-05 19:49:00,14,metro,obstacle,unscheduled
0 days 00:00:00.000000000,2016-07-05 21:20:00,12,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-05 21:31:00,12,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-06 06:49:00,B,rer,generic,unscheduled
0 days 00:00:00.000000000,2016-07-06 10:56:00,1,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-06 14:42:00,3b,metro,generic,unscheduled
0 days 00:38:00.000000000,2016-07-06 15:30:00,B,rer,unattended_luggage,unscheduled
0 days 00:11:00.000000000,2016-07-06 16:08:00,12,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-06 16:39:00,12,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-06 17:08:00,9,metro,pedestrian,unscheduled
0 days 00:00:00.000000000,2016-07-06 17:13:00,9,metro,pedestrian,unscheduled
0 days 00:12:00.000000000,2016-07-06 20:12:00,A,rer,unattended_luggage,unscheduled
0 days 00:08:00.000000000,2016-07-06 20:16:00,B,rer,unattended_luggage,unscheduled
0 days 00:01:00.000000000,2016-07-06 20:29:00,A,rer,unattended_luggage,unscheduled
0 days 00:15:00.000000000,2016-07-06 20:29:00,B,rer,unattended_luggage,unscheduled
0 days 00:13:00.000000000,2016-07-06 20:31:00,A,rer,unattended_luggage,unscheduled
0 days 02:18:00.000000000,2016-07-06 20:45:00,A,rer,unattended_luggage,unscheduled
0 days 02:18:00.000000000,2016-07-06 20:45:00,B,rer,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-07 06:03:00,13,metro,smoke,unscheduled
0 days 00:00:00.000000000,2016-07-07 06:18:00,5,metro,smoke,unscheduled
0 days 00:00:00.000000000,2016-07-07 06:58:00,3,metro,smoke,unscheduled
0 days 00:00:00.000000000,2016-07-07 08:20:00,4,metro,passenger,unscheduled
0 days 00:12:00.000000000,2016-07-07 08:26:00,4,metro,passenger,unscheduled
0 days 00:04:00.000000000,2016-07-07 08:32:00,12,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-07 08:45:00,A,rer,passenger,unscheduled
0 days 00:53:00.000000000,2016-07-07 09:02:00,A,rer,breakdown,unscheduled
0 days 00:03:00.000000000,2016-07-07 09:38:00,9,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2016-07-07 09:40:00,8,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-07 09:56:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-07 09:57:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-07 09:58:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-07 10:01:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-07 10:02:00,A,rer,passenger,unscheduled
0 days 01:17:00.000000000,2016-07-07 10:03:00,A,rer,breakdown,unscheduled
0 days 01:13:00.000000000,2016-07-07 12:32:00,A,rer,generic,unscheduled
0 days 00:06:00.000000000,2016-07-07 13:46:00,A,rer,generic,unscheduled
0 days 00:42:00.000000000,2016-07-07 14:31:00,A,rer,breakdown,unscheduled
0 days 01:15:00.000000000,2016-07-07 15:44:00,6,metro,smoke,unscheduled
0 days 04:17:00.000000000,2016-07-07 16:15:00,A,rer,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-07 19:08:00,2,metro,pedestrian,unscheduled
0 days 00:02:00.000000000,2016-07-07 19:14:00,2,metro,pedestrian,unscheduled
0 days 00:58:00.000000000,2016-07-07 19:18:00,2,metro,pedestrian,unscheduled
0 days 00:00:00.000000000,2016-07-07 19:37:00,6,metro,safety,unscheduled
0 days 03:38:00.000000000,2016-07-07 19:38:00,10,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-07 19:38:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-07 19:38:00,8,metro,safety,unscheduled
0 days 00:46:00.000000000,2016-07-07 19:39:00,6,metro,safety,unscheduled
0 days 03:09:00.000000000,2016-07-07 19:39:00,8,metro,safety,unscheduled
0 days 00:05:00.000000000,2016-07-07 20:26:00,6,metro,passenger,unscheduled
0 days 00:09:00.000000000,2016-07-07 20:32:00,6,metro,passenger,unscheduled
0 days 02:33:00.000000000,2016-07-07 20:44:00,6,metro,safety,unscheduled
0 days 00:27:00.000000000,2016-07-07 21:55:00,A,rer,breakdown,unscheduled
0 days 02:43:00.000000000,2016-07-07 22:23:00,A,rer,breakdown,unscheduled
0 days 01:05:00.000000000,2016-07-07 22:52:00,8,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-07 23:19:00,6,metro,safety,unscheduled
0 days 00:05:00.000000000,2016-07-07 23:20:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-07 23:26:00,6,metro,safety,unscheduled
0 days 00:08:00.000000000,2016-07-07 23:27:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-07 23:36:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-07 23:37:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-07 23:38:00,6,metro,safety,unscheduled
0 days 00:01:00.000000000,2016-07-07 23:40:00,6,metro,safety,unscheduled
0 days 00:03:00.000000000,2016-07-07 23:42:00,6,metro,safety,unscheduled
0 days 00:02:00.000000000,2016-07-07 23:46:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-07 23:52:00,6,metro,safety,unscheduled
0 days 00:01:00.000000000,2016-07-07 23:55:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-07 23:57:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-07 23:59:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:00:00,6,metro,safety,unscheduled
0 days 00:02:00.000000000,2016-07-08 00:02:00,6,metro,safety,unscheduled
0 days 00:01:00.000000000,2016-07-08 00:07:00,6,metro,safety,unscheduled
0 days 00:05:00.000000000,2016-07-08 00:09:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:15:00,6,metro,safety,unscheduled
0 days 00:01:00.000000000,2016-07-08 00:16:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:22:00,6,metro,safety,unscheduled
0 days 00:10:00.000000000,2016-07-08 00:23:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:35:00,6,metro,safety,unscheduled
0 days 00:01:00.000000000,2016-07-08 00:36:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:41:00,6,metro,safety,unscheduled
0 days 00:01:00.000000000,2016-07-08 00:42:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:46:00,6,metro,safety,unscheduled
0 days 00:01:00.000000000,2016-07-08 00:47:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:49:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:50:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:51:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:52:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 00:53:00,6,metro,safety,unscheduled
0 days 00:05:00.000000000,2016-07-08 00:54:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 01:00:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 01:01:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 01:02:00,6,metro,safety,unscheduled
0 days 00:06:00.000000000,2016-07-08 01:04:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-08 01:12:00,6,metro,safety,unscheduled
0 days 00:13:00.000000000,2016-07-08 05:30:00,A,rer,smoke,unscheduled
0 days 00:25:00.000000000,2016-07-08 05:34:00,9,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-08 06:00:00,9,metro,passenger,unscheduled
0 days 00:09:00.000000000,2016-07-08 06:01:00,9,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-08 06:13:00,9,metro,passenger,unscheduled
0 days 00:15:00.000000000,2016-07-08 06:17:00,9,metro,passenger,unscheduled
0 days 02:44:00.000000000,2016-07-08 06:33:00,9,metro,smoke,unscheduled
0 days 00:08:00.000000000,2016-07-08 07:43:00,14,metro,passenger,unscheduled
0 days 00:05:00.000000000,2016-07-08 07:53:00,14,metro,passenger,unscheduled
0 days 00:14:00.000000000,2016-07-08 08:38:00,8,metro,animal,unscheduled
0 days 00:00:00.000000000,2016-07-08 10:31:00,2,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-08 11:20:00,2,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-08 11:53:00,2,metro,unattended_luggage,unscheduled
0 days 00:23:00.000000000,2016-07-08 12:26:00,4,metro,unattended_luggage,unscheduled
0 days 00:09:00.000000000,2016-07-08 12:50:00,4,metro,unattended_luggage,unscheduled
0 days 00:22:00.000000000,2016-07-08 13:02:00,4,metro,unattended_luggage,unscheduled
0 days 00:04:00.000000000,2016-07-08 14:33:00,2,metro,smoke,unscheduled
0 days 00:20:00.000000000,2016-07-08 14:41:00,3,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-08 14:45:00,2,metro,smoke,unscheduled
0 days 00:00:00.000000000,2016-07-08 14:53:00,2,metro,smoke,unscheduled
0 days 00:04:00.000000000,2016-07-08 15:01:00,2,metro,smoke,unscheduled
0 days 00:00:00.000000000,2016-07-08 15:29:00,2,metro,smoke,unscheduled
0 days 00:00:00.000000000,2016-07-08 17:20:00,8,metro,breakdown,unscheduled
0 days 00:25:00.000000000,2016-07-08 17:23:00,8,metro,breakdown,unscheduled
0 days 00:34:00.000000000,2016-07-08 17:51:00,8,metro,breakdown,unscheduled
0 days 00:05:00.000000000,2016-07-08 18:08:00,7,metro,passenger,unscheduled
0 days 00:35:00.000000000,2016-07-08 18:15:00,7,metro,passenger,unscheduled
0 days 00:01:00.000000000,2016-07-08 18:43:00,11,metro,unattended_luggage,unscheduled
0 days 01:32:00.000000000,2016-07-08 18:45:00,11,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-08 19:50:00,6,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-08 20:00:00,1,metro,unattended_luggage,unscheduled
0 days 00:12:00.000000000,2016-07-08 20:01:00,1,metro,unattended_luggage,unscheduled
0 days 00:10:00.000000000,2016-07-08 20:14:00,1,metro,unattended_luggage,unscheduled
0 days 00:24:00.000000000,2016-07-08 20:32:00,1,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-09 05:52:00,1,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-09 06:21:00,1,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-09 06:43:00,1,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-09 06:57:00,1,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-09 07:38:00,4,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-09 09:24:00,10,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-09 18:59:00,3,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-09 19:32:00,3,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-09 19:59:00,3,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-10 09:09:00,8,metro,generic,unscheduled
0 days 00:15:00.000000000,2016-07-10 13:53:00,4,metro,passenger,unscheduled
0 days 00:35:00.000000000,2016-07-10 14:10:00,4,metro,passenger,unscheduled
0 days 00:17:00.000000000,2016-07-10 14:31:00,13,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-10 15:23:00,3,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-10 15:28:00,3,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-10 16:14:00,3,metro,unattended_luggage,unscheduled
0 days 04:30:00.000000000,2016-07-10 20:35:00,A,rer,generic,unscheduled
0 days 00:00:00.000000000,2016-07-10 22:10:00,1,metro,safety,unscheduled
0 days 02:35:00.000000000,2016-07-10 22:13:00,9,metro,safety,unscheduled
0 days 02:35:00.000000000,2016-07-10 22:13:00,1,metro,safety,unscheduled
0 days 02:35:00.000000000,2016-07-10 22:13:00,13,metro,safety,unscheduled
0 days 01:01:00.000000000,2016-07-10 22:39:00,6,metro,safety,unscheduled
0 days 00:11:00.000000000,2016-07-10 23:41:00,6,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-10 23:53:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-10 23:56:00,6,metro,safety,unscheduled
0 days 00:01:00.000000000,2016-07-10 23:57:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-11 00:00:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-11 00:01:00,6,metro,safety,unscheduled
0 days 01:12:00.000000000,2016-07-11 00:02:00,6,metro,safety,unscheduled
0 days 00:00:00.000000000,2016-07-11 07:47:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-11 08:51:00,7,metro,passenger,unscheduled
0 days 00:32:00.000000000,2016-07-11 09:02:00,7,metro,passenger,unscheduled
0 days 00:03:00.000000000,2016-07-11 09:14:00,6,metro,smoke,unscheduled
0 days 00:14:00.000000000,2016-07-11 09:18:00,6,metro,smoke,unscheduled
0 days 00:00:00.000000000,2016-07-11 14:59:00,2,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-11 15:05:00,2,metro,passenger,unscheduled
0 days 00:22:00.000000000,2016-07-11 15:07:00,2,metro,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-11 15:13:00,12,metro,passenger,unscheduled
0 days 01:35:00.000000000,2016-07-11 17:40:00,A,rer,generic,unscheduled
0 days 00:22:00.000000000,2016-07-11 22:28:00,4,metro,passenger,unscheduled
0 days 02:17:00.000000000,2016-07-11 22:55:00,4,metro,passenger,unscheduled
0 days 00:16:00.000000000,2016-07-12 05:42:00,13,metro,breakdown,unscheduled
0 days 00:17:00.000000000,2016-07-12 06:02:00,13,metro,breakdown,unscheduled
0 days 01:14:00.000000000,2016-07-12 06:23:00,13,metro,breakdown,unscheduled
0 days 00:03:00.000000000,2016-07-12 06:43:00,3,metro,passenger,unscheduled
0 days 00:55:00.000000000,2016-07-12 06:49:00,3,metro,passenger,unscheduled
0 days 00:38:00.000000000,2016-07-12 07:38:00,13,metro,breakdown,unscheduled
0 days 00:47:00.000000000,2016-07-12 07:51:00,A,rer,smoke,unscheduled
0 days 00:21:00.000000000,2016-07-12 08:17:00,13,metro,breakdown,unscheduled
0 days 00:38:00.000000000,2016-07-12 08:56:00,9,metro,passenger,unscheduled
0 days 00:12:00.000000000,2016-07-12 13:56:00,2,metro,generic,unscheduled
0 days 00:13:00.000000000,2016-07-12 17:51:00,A,rer,passenger,unscheduled
0 days 00:00:00.000000000,2016-07-12 23:09:00,9,metro,breakdown,unscheduled
0 days 00:05:00.000000000,2016-07-13 05:42:00,6,metro,smoke,unscheduled
0 days 00:23:00.000000000,2016-07-13 05:47:00,8,metro,unattended_luggage,unscheduled
0 days 00:18:00.000000000,2016-07-13 05:49:00,6,metro,smoke,unscheduled
0 days 00:05:00.000000000,2016-07-13 06:50:00,8,metro,unattended_luggage,unscheduled
0 days 01:00:00.000000000,2016-07-13 06:55:00,13,metro,unattended_luggage,unscheduled
0 days 00:41:00.000000000,2016-07-13 07:24:00,4,metro,generic,unscheduled
0 days 00:06:00.000000000,2016-07-13 07:58:00,13,metro,unattended_luggage,unscheduled
0 days 00:45:00.000000000,2016-07-13 08:05:00,13,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-13 08:48:00,12,metro,passenger,unscheduled
0 days 00:35:00.000000000,2016-07-13 09:25:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2016-07-13 11:43:00,A,rer,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-13 11:55:00,A,rer,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-13 12:36:00,A,rer,unattended_luggage,unscheduled
0 days 00:34:00.000000000,2016-07-13 13:42:00,12,metro,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-13 14:01:00,6,metro,unattended_luggage,unscheduled
0 days 00:10:00.000000000,2016-07-13 14:06:00,6,metro,unattended_luggage,unscheduled
0 days 00:18:00.000000000,2016-07-13 14:17:00,12,metro,unattended_luggage,unscheduled
0 days 00:14:00.000000000,2016-07-13 14:17:00,6,metro,unattended_luggage,unscheduled
0 days 00:34:00.000000000,2016-07-13 17:56:00,1,metro,breakdown,unscheduled
0 days 00:36:00.000000000,2016-07-13 20:24:00,A,rer,unattended_luggage,unscheduled
0 days 00:36:00.000000000,2016-07-13 20:24:00,B,rer,unattended_luggage,unscheduled
0 days 00:00:00.000000000,2016-07-14 06:19:00,14,metro,alarm,unscheduled
0 days 00:01:00.000000000,2016-07-14 07:02:00,1,metro,generic,unscheduled
0 days 05:46:00.000000000,2016-07-14 07:02:00,2,metro,generic,unscheduled
0 days 05:46:00.000000000,2016-07-14 07:02:00,6,metro,generic,unscheduled
0 days 03:27:00.000000000,2016-07-14 07:03:00,A,rer,generic,unscheduled
0 days 00:08:00.000000000,2016-07-14 07:04:00,1,metro,generic,unscheduled
0 days 05:34:00.000000000,2016-07-14 07:14:00,8,metro,generic,unscheduled
0 days 05:34:00.000000000,2016-07-14 07:14:00,12,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:14:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:15:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:16:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:17:00,1,metro,generic,unscheduled
0 days 00:05:00.000000000,2016-07-14 07:18:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:25:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:26:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:27:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:28:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:30:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:31:00,1,metro,generic,unscheduled
0 days 00:02:00.000000000,2016-07-14 07:32:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:35:00,1,metro,generic,unscheduled
0 days 04:40:00.000000000,2016-07-14 07:36:00,13,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:36:00,1,metro,generic,unscheduled
0 days 04:44:00.000000000,2016-07-14 07:37:00,9,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:37:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:38:00,1,metro,generic,unscheduled
0 days 00:04:00.000000000,2016-07-14 07:39:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:44:00,1,metro,generic,unscheduled
0 days 00:02:00.000000000,2016-07-14 07:45:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:48:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:49:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:50:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:51:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:52:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:53:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:54:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:55:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:56:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 07:57:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 08:00:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 08:01:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 08:03:00,1,metro,generic,unscheduled
0 days 00:00:00.000000000,2016-07-14 08:04:00,1,metro,generic,unscheduled
